FACMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportName,Exclusive State Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Period ,Report From :- 17/03/2025 06:00:00 To -: 22/06/2025 22:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department,ONTRACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Description,,,,Cycling,,Starved,,Blocked,,Waiting Aux,,Paused,,Overcycle,,Production Hold,,Bypass,,Break,,Waiting Attention,,Repair in Progress,,Manual Mode,,Manual Intervention,,Tool Change,,Emergency Stop,,Setup,,Total,Occ.
,,IP Inside JIT,,,,32481:59,24,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,22:29,22,2028:45:00,2,231:00:00,11,265:00:00,9,00:00,0,00:00,0,00:00,0,35029:13,68
,,BLK94 IP Delivery,,,,22916:58,612,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,12340:12,213,6841:27:00,507,2444:28:00,28,1127:57:00,26,228:31:00,19,00:00,0,00:00,0,00:00,0,45899:33,1405
,,Tailgate,,,,17778:27,11281,00:00,0,00:00,0,00:00,0,00:00,0,5335:21:00,9955,792:35:00,1431,00:00,0,20342:41,182,1730:10:00,51,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,45979:14,22900
,,PFC2 BUFFER,,,,26449:10,106,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,13172:15,71,1200:35:00,34,2791:28:00,13,422:26:00,20,1814:15:00,29,00:00,0,00:00,0,00:00,0,45850:09,273
,,PFC2 MAINTENANCE BAY,,,,22757:51,1223,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,2306:54:00,1049,00:00,0,10840:41,75,3301:09:00,99,4077:52:00,6,20:43,11,2428:38:00,16,00:00,0,00:00,0,204:07:00,246,45938:05,2725
,,206 Onwards to 210,,,,18435:56,14891,682:25:00,578,3373:57:00,10416,00:00,0,4057:08:00,10983,804:37:00,3791,58:58:00,62,00:00,0,14429:13,194,7437:27:00,265,32:28:00,49,00:00,0,724:07:00,34,00:00,0,00:00,0,00:00,0,45979:54,30269
,,Buffer from 215 to 240,,,,23599:55,204,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,13667:36,187,8540:29:00,47,50:51:00,6,00:00,0,01:09,4,00:00,0,00:00,0,00:00,0,45860:00,448
,,REAR AXLE BUFFER,,,,23344:27,411,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,7858:25:00,196,7740:45:00,249,433:34:00,2,1190:08:00,18,5391:33:00,22,00:00,0,00:00,0,00:00,0,45958:52,898
,,REAR AXLE RETURN,,,,23777:13,449,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,18949:36,183,844:19:00,216,02:16,1,2062:38:00,63,223:58:00,5,00:00,0,00:00,0,00:00,0,45860:00,917
,,SKLT MAINTENANCE BAY,,,,20491:06,420,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,14632:04,181,5039:54:00,146,49:33:00,10,1512:18:00,164,4194:41:00,158,00:00,0,00:00,0,00:00,0,45919:36,1079
,,ENGINE BUFFER,,,,23284:38,293,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,8654:23:00,191,4577:34:00,133,6091:56:00,8,3030:11:00,10,207:34:00,6,00:00,0,13:44,11,00:00,0,45860:00,652
,,FRONT AXLE BUFFER,,,,23968:11,281,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,13198:00,195,4172:50:00,112,3299:24:00,2,492:49:00,9,728:46:00,7,00:00,0,00:00,0,00:00,0,45860:00,606
,,PREMARRIAGE BUFFER,,,,20195:19,8553,00:00,0,00:00,0,00:00,0,00:00,0,3256:21:00,8338,00:00,0,00:00,0,11223:49,190,4166:47:00,88,283:35:00,20,00:00,0,00:25,5,00:00,0,6852:29:00,34,00:00,0,45978:45,17228
,,MARRIAGE BUFFER,,,,24012:24,219,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,13246:53,192,8429:37:00,64,171:05:00,12,00:00,0,00:01,4,00:00,0,00:00,0,00:00,0,45860:00,491
,,DOORS STORE,,,,23944:00,247,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,9952:59:00,195,9105:38:00,109,2857:21:00,19,00:00,0,00:02,16,00:00,0,00:00,0,00:00,0,45860:00,586
,,DOORS BUFFER,,,,23077:38,870,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,7221:36:00,223,4421:29:00,786,11189:22,79,00:00,0,40:35:00,105,00:00,0,03:56,18,00:09,1,45954:45,2082
,,Instrument Panel Test,,,,19949:05,529,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,15646:46,166,4239:54:00,357,05:30,7,6018:35:00,78,88:38:00,2,00:00,0,02:17,1,00:00,0,45950:45,1140
,,BEV DELIVERY LOAD SIDE,,,,01:44,16,00:00,0,00:00,0,00:00,0,8588:28:00,309,00:00,0,00:00,0,00:00,0,3962:24:00,74,581:00:00,177,10051:33,18,1305:19:00,116,11931:41,72,00:00,0,00:05,1,00:00,0,36422:14,783
,,BEV DELIVERY INSIDE,,,,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,23867:46,75,00:00,0,00:00,0,10615:23,98,1805:28:00,35,00:00,0,00:04,1,00:00,0,36288:41,209
